2019-01-18T22:17:07.873Z  - [info] : Starting the collection of metrics, the metrics are available on /metrics
2019-01-18T22:17:09.043Z  - [debug] : [Verify][checkTransactionsAndApplyUnconfirmed][sender] {"username":null,"u_username":null,"status":1,"isDelegate":0,"u_isDelegate":0,"url":null,"secondSignature":0,"u_secondSignature":0,"address":"DDK4995063339468361088","publicKey":"f4ae589b02f97e9ab5bce61cf187bcc96cfb3fdf9a11333703a682b7d47c8dc2","secondPublicKey":null,"balance":0,"u_balance":0,"voteCount":0,"vote":0,"rate":0,"delegates":null,"u_delegates":null,"multisignatures":null,"u_multisignatures":null,"multimin":0,"u_multimin":0,"multilifetime":0,"u_multilifetime":0,"blockId":null,"nameexist":0,"u_nameexist":0,"producedblocks":0,"missedblocks":0,"fees":0,"rewards":0,"acc_type":0,"transferedAmount":0,"endTime":null,"totalFrozeAmount":0,"u_totalFrozeAmount":0,"isMigrated":0,"name":null,"email":null,"country":null,"phoneNumber":null,"referralLink":null,"group_bonus":0,"pending_group_bonus":0,"introducer":null,"virgin":1,"global":false}
2019-01-18T22:17:09.050Z  - [debug] : Loading blocks offset
2019-01-18T22:17:09.094Z  - [debug] : [Verify][checkTransactionsAndApplyUnconfirmed][sender] {"username":null,"u_username":null,"status":1,"isDelegate":0,"u_isDelegate":0,"url":null,"secondSignature":0,"u_secondSignature":0,"address":"DDK4995063339468361088","publicKey":"f4ae589b02f97e9ab5bce61cf187bcc96cfb3fdf9a11333703a682b7d47c8dc2","secondPublicKey":null,"balance":0,"u_balance":-90000000000000,"voteCount":0,"vote":0,"rate":0,"delegates":null,"u_delegates":null,"multisignatures":null,"u_multisignatures":null,"multimin":0,"u_multimin":0,"multilifetime":0,"u_multilifetime":0,"blockId":null,"nameexist":0,"u_nameexist":0,"producedblocks":0,"missedblocks":0,"fees":0,"rewards":0,"acc_type":0,"transferedAmount":0,"endTime":null,"totalFrozeAmount":0,"u_totalFrozeAmount":0,"isMigrated":0,"name":null,"email":null,"country":null,"phoneNumber":null,"referralLink":null,"group_bonus":0,"pending_group_bonus":0,"introducer":null,"virgin":0,"global":false}
2019-01-18T22:17:09.105Z  - [info] : Blockchain ready
2019-01-18T22:17:09.111Z  - [info] : Loading delegate from config
2019-01-18T22:17:09.220Z  - [debug] : EUNAVAILABLE Removing peer 10.5.0.5:7007 GET http://10.5.0.5:7007/peer/height
2019-01-18T22:17:09.221Z  - [info] : Cannot remove frozen peer 10.5.0.5:7007
2019-01-18T22:17:09.222Z  - [debug] : Inserted new peer 10.5.0.5:7007
2019-01-18T22:17:09.223Z  - [debug] : EUNAVAILABLE Removing peer 10.6.0.5:7007 GET http://10.6.0.5:7007/peer/height
2019-01-18T22:17:09.224Z  - [info] : Cannot remove frozen peer 10.6.0.5:7007
2019-01-18T22:17:09.224Z  - [debug] : Inserted new peer 10.6.0.5:7007
2019-01-18T22:17:09.232Z  - [error] : Failed to load delegates Account with public key: 3f0348b6d3ecaeaeca0a05ee4c2d7b4b7895ef0a12d8023ba245b6b8022833e5 not found
2019-01-18T22:17:09.233Z  - [debug] : No delegates enabled
2019-01-18T22:17:09.233Z  - [info] : Loading delegate from config
2019-01-18T22:17:09.275Z  - [debug] : [Delegates][nextForge]
Transaction queue size: 0
Transaction conflicted queue size: 0
Transaction pool size: 0
Lock status {"transactionQueue":false,"transactionPool":false} 
2019-01-18T22:17:09.286Z  - [info] : Imported peers from database
2019-01-18T22:17:09.294Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.303Z  - [debug] : [Verify][checkTransactionsAndApplyUnconfirmed][sender] {"username":"DSTAKEREWARD","u_username":null,"status":1,"isDelegate":0,"u_isDelegate":0,"url":null,"secondSignature":0,"u_secondSignature":0,"address":"DDK4995063339468361088","publicKey":"f4ae589b02f97e9ab5bce61cf187bcc96cfb3fdf9a11333703a682b7d47c8dc2","secondPublicKey":null,"balance":0,"u_balance":-126000000000000,"voteCount":0,"vote":0,"rate":0,"delegates":null,"u_delegates":null,"multisignatures":null,"u_multisignatures":null,"multimin":0,"u_multimin":0,"multilifetime":0,"u_multilifetime":0,"blockId":null,"nameexist":0,"u_nameexist":0,"producedblocks":0,"missedblocks":0,"fees":0,"rewards":0,"acc_type":0,"transferedAmount":0,"endTime":null,"totalFrozeAmount":0,"u_totalFrozeAmount":0,"isMigrated":0,"name":null,"email":null,"country":null,"phoneNumber":null,"referralLink":null,"group_bonus":0,"pending_group_bonus":0,"introducer":null,"virgin":0,"global":false}
2019-01-18T22:17:09.307Z  - [info] : Starting sync
2019-01-18T22:17:09.308Z  - [debug] : Establishing broadhash consensus before sync
2019-01-18T22:17:09.311Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.311Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.313Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.313Z  - [info] : Broadhash consensus now 0 %
2019-01-18T22:17:09.317Z  - [error] : Discovering new peers failed No acceptable peers found
2019-01-18T22:17:09.321Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.323Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.325Z  - [info] : Finished sync
2019-01-18T22:17:09.328Z  - [info] : Starting sync
2019-01-18T22:17:09.328Z  - [debug] : Establishing broadhash consensus before sync
2019-01-18T22:17:09.338Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.338Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.339Z  - [info] : Broadhash consensus now 0 %
2019-01-18T22:17:09.342Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.343Z  - [info] : Finished sync
2019-01-18T22:17:09.345Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.346Z  - [info] : Starting sync
2019-01-18T22:17:09.346Z  - [debug] : Establishing broadhash consensus before sync
2019-01-18T22:17:09.349Z  - [debug] : [Verify][checkTransactionsAndApplyUnconfirmed][sender] {"username":"DSTAKEREWARD","u_username":null,"status":1,"isDelegate":0,"u_isDelegate":0,"url":null,"secondSignature":0,"u_secondSignature":0,"address":"DDK4995063339468361088","publicKey":"f4ae589b02f97e9ab5bce61cf187bcc96cfb3fdf9a11333703a682b7d47c8dc2","secondPublicKey":null,"balance":0,"u_balance":-135000000000000,"voteCount":0,"vote":0,"rate":0,"delegates":null,"u_delegates":null,"multisignatures":null,"u_multisignatures":null,"multimin":0,"u_multimin":0,"multilifetime":0,"u_multilifetime":0,"blockId":null,"nameexist":0,"u_nameexist":0,"producedblocks":0,"missedblocks":0,"fees":0,"rewards":0,"acc_type":0,"transferedAmount":0,"endTime":null,"totalFrozeAmount":0,"u_totalFrozeAmount":0,"isMigrated":0,"name":null,"email":null,"country":null,"phoneNumber":null,"referralLink":null,"group_bonus":0,"pending_group_bonus":0,"introducer":null,"virgin":0,"global":false}
2019-01-18T22:17:09.352Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.354Z  - [info] : Broadhash consensus now 0 %
2019-01-18T22:17:09.357Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.359Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.360Z  - [info] : Finished sync
2019-01-18T22:17:09.363Z  - [info] : Starting sync
2019-01-18T22:17:09.364Z  - [debug] : Establishing broadhash consensus before sync
2019-01-18T22:17:09.366Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.368Z  - [debug] : Listing 0 total peers
2019-01-18T22:17:09.369Z  - [info] : Broadhash consensus now 0 %
